tutorial,Be Charmed By Google App Engine,Douglas  Starnes,Douglas ,Starnes
talk,Flasky Goodness,Kenneth Reitz,Kenneth,Reitz
talk,Introduction to SQLAlchemy and Alembic Migrations,Jason Myers,Jason,Myers
talk,APIs made for mobile networks,Chris Ridenour,Chris,Ridenour
talk,Hardware Design in Python,Christopher Felton,Christopher,Felton
tutorial,"Shiny, Let's Be Bad Guys: Exploiting and Mitigating the Top 10 Web App Vulnerabilities",David Stanek,David,Stanek
tutorial,"Shiny, Let's Be Bad Guys: Exploiting and Mitigating the Top 10 Web App Vulnerabilities",Michael Pirnat,Michael,Pirnat
talk,ORM vs SQL Roundup,Michael Robellard,Michael,Robellard
talk,Porting Half a Million Lines to Python 3,Nathan Yergler,Nathan,Yergler
talk,Saturday Morning BreakfastSerial: Hacking Arduinos in Python,Swift,#,Swift
tutorial,Model-View-Controller & Pygame,Jay Shaffstall,Jay,Shaffstall
talk,Code Reading Python,Thomas Fetherston,Thomas,Fetherston
talk,My Adventures with Mock,Brad Montgomery,Brad,Montgomery
talk,Playing with PyEphem,Ann Elliott,Ann,Elliott
talk,Pika and Queues,Matthew Lauber,Matthew,Lauber
tutorial,Fundamentals of Python Debugging,Chris Calloway,Chris,Calloway
tutorial,Super Advanced Python,Raymond Chandler III,Raymond,Chandler III
open-space,"Science, Python, and You",Jeffrey Spies,Jeffrey,Spies
talk,Better Mapping with Shapely,Alison Alvarez,Alison,Alvarez
tutorial,Kivy - Creating Desktop and Mobile Apps with Python,Ben Rousch,Ben,Rousch
tutorial,Rapidly Deploying and Scaling with Amazon EC2,David J Felix,David,Felix
talk,Python + FUSE ,Zach Wick,Zach,Wick
talk,"Atypes, Btypes and Ctypes",Ben Timby,Ben,Timby
talk,A Text Adventure in Python,Jeffrey Armstrong,Jeffrey,Armstrong
tutorial,Develop Games with Panda3D and Python,Peter Carswell,Peter,Carswell
tutorial,Python 101,Michael Yanovich,Michael,Yanovich
open-space,Things Python Does Nicely,Jim Prior,James,Prior
talk,Large scale network analysis w/ python and igraph,Timothy Wilson,Timothy,Wilson
talk,The IPython Notebook Revolution,Catherine Devlin,Catherine,Devlin
talk,diesel: Simple and Scalable Network Applications ,Christian Wyglendowski,Christian,Wyglendowski
tutorial,Building Rich Applications with Django and Ember.js,Gabriel Grant,Gabriel,Grant
talk,Arbitrage on Amazon: Exploiting the Textbook Trade-ins with Python,Brandon Lorenz,Brandon,Lorenz
talk,Django Powered Mobile Apps,Tim Kuehlhorn,Tim,Kuehlhorn
talk,Keeping library compatible with Python 2.6-3.4  using python-systemd as example,Zbigniew Jędrzejewski-Szmek,Zbigniew,Jędrzejewski-Szmek
talk,Gittle: Pure Python Git,Aaron O'Mullan,Aaron,O'Mullan
tutorial,Simple Games for Beginners,Greg Lindstrom,Greg,Lindstrom
talk,Python in the Cloud,Brian Prince,Brian,Prince
